id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9643097,Aluguel Fixo 4 Quartos em Copacabana Posto 5,30791192,Ione,,Copacabana,-22.98444,-43.19052,Entire home/apt,186,360,0,,,1,365,0,
9644310,Casa no Rio de Janeiro para locação,28719754,Adriano,,Rocha Miranda,-22.84678,-43.34852,Entire home/apt,1000,1,0,,,1,365,0,
9651430,Ótima oportunidade no RJ para as olimpíadas!,49894931,Elizabeth,,Grajaú,-22.92036,-43.26042,Shared room,35,7,0,,,1,365,0,
9652227,Confortável apt próximo ao Maracanã,49898168,Leonardo,,Engenho Novo,-22.90004,-43.27052,Entire home/apt,100,1,16,2021-12-23,0.25,2,324,4,
9652976,Full bedroom apartment at Barra,16633686,Thiago,,Jacarepaguá,-22.9688,-43.35557,Entire home/apt,78,30,11,2021-07-05,0.16,1,329,3,
9658481,Flat in IPANEMA GREAT LOCATION,14095160,Claudia,,Ipanema,-22.98356,-43.19843,Entire home/apt,1000,7,3,2016-08-21,0.04,15,72,0,
9661213,SUITE EM COPACABANA QUADRA DA PRAIA,12552394,Mario,,Copacabana,-22.96735,-43.18126,Private room,237,2,1,2015-12-14,0.01,1,365,0,
9664779,"Copacabana 2BR, near Beach & Subway",30363541,Julia,,Copacabana,-22.97343,-43.19042,Entire home/apt,800,5,2,2020-02-25,0.08,1,30,0,
9665183,Amazing apartment in Catete.,49949145,Clarice,,Catete,-22.92565,-43.17802,Entire home/apt,82,2,76,2021-06-13,1.03,1,306,4,
9665755,Apartamento quarto e sala divididos,49951195,Mauricio,,Barra da Tijuca,-23.01083,-43.34164,Entire home/apt,1000,10,0,,,1,363,0,
9666419,ACONCHEGANTE PRAIA DE COPACABANA,40997203,Monica,,Copacabana,-22.96495,-43.17819,Private room,450,2,2,2018-01-02,0.03,1,179,0,
9666961,Luxury One Bedroom Apartment,30479102,Newman,,Copacabana,-22.97122,-43.18531,Entire home/apt,827,1,5,2020-02-23,0.08,1,180,0,
9667756,Carnaval em Copacabana/Ipanema,3805305,Carol,,Ipanema,-22.98649,-43.1939,Entire home/apt,1435,7,3,2017-04-23,0.04,1,364,0,
9674410,Charming apartment in Gloria !,10032443,Claudia,,Glória,-22.92191,-43.17362,Entire home/apt,642,3,4,2018-02-14,0.06,1,361,0,
9675368,Marina waterfront luxury apartment in Barra,49992117,Gabriela,,Barra da Tijuca,-23.01077,-43.3,Entire home/apt,1193,7,3,2020-12-23,0.05,1,167,0,
9676405,Praia de Copacabana Amplo Studio!,13459604,Guga Braga,,Copacabana,-22.97486,-43.19341,Entire home/apt,637,5,151,2021-12-21,2.05,1,25,21,
9678583,"Quarto claro, limpo e acolhedor",50004247,Miriam,,Cosme Velho,-22.93992,-43.19745,Private room,150,1,1,2020-02-23,0.04,1,360,0,
9678590,BalconyOnTheSea 2BD Flamengo Beach,15025215,Ana,,Flamengo,-22.93027,-43.17234,Entire home/apt,1419,7,1,2016-08-22,0.02,5,364,0,
9680343,Terrace&Sea - 2BD in Flamengo Beach,15025215,Ana,,Flamengo,-22.93655,-43.16912,Entire home/apt,1022,4,0,,,5,364,0,
9693021,Rio de Janeiro-Copacabana entre Arpoador e Ipanema,50057473,Renato,,Copacabana,-22.9834,-43.19301,Private room,80,3,15,2019-11-18,0.21,2,317,0,
9696438,"Small, Cozy and Clean Single Room",38867290,Gizela,,Copacabana,-22.97441,-43.19125,Private room,130,3,31,2021-11-23,0.43,3,203,3,
9696990,"COPA, 3quartos, Wi-Fi, AC, GARAGEM, 160m², praia",6080771,Danielle,,Copacabana,-22.9805,-43.1908,Entire home/apt,843,1,39,2021-11-17,0.60,2,97,3,
9697411,"APTO  fim de semana, feriados e REVEILLON  em Copa",50078833,Paulo,,Botafogo,-22.9607,-43.17895,Entire home/apt,650,2,1,2020-01-02,0.04,1,363,0,
9702863,Beach front Reserva Pontal,10122044,Eduardo,,Recreio dos Bandeirantes,-23.03047,-43.47532,Entire home/apt,1799,3,33,2021-11-19,0.45,6,195,5,
9704463,Total frontage to Copacabana beach,50109403,Fernando,,Copacabana,-22.97846,-43.1906,Entire home/apt,554,3,137,2021-11-26,1.87,1,44,22,
9712288,Quarto suíte RJ/Recreio,50141397,Carina,,Recreio dos Bandeirantes,-23.02815,-43.48662,Private room,301,1,0,,,1,362,0,
9712990,Wonderful view of Guanabara Bay,50143160,Ricardo,,Glória,-22.92302,-43.17455,Private room,567,1,0,,,1,365,0,
9714248,Apartamento na Ilha do Governador,50149748,Diego E Juliane,,Tauá,-22.8002,-43.19261,Entire home/apt,180,1,11,2017-05-19,0.17,1,179,0,
9722631,Privileged location,50182895,Camilo,,Copacabana,-22.98615,-43.1899,Entire home/apt,400,5,24,2020-02-27,0.33,1,349,0,
9725829,Studio na Praia de Copacabana,50194351,Barbara Vitoria,,Copacabana,-22.96445,-43.17562,Entire home/apt,135,5,7,2019-03-09,0.10,1,280,0,
9729200,Studio in HEART of Copacabana,20946698,Priscilla,,Copacabana,-22.96147,-43.17724,Entire home/apt,300,4,6,2020-02-27,0.08,1,358,0,
9729201,Cheap in the heart of Ipanema for up to 12 people.,49926499,Mirtes E Alan,,Ipanema,-22.98662,-43.20057,Entire home/apt,3867,2,68,2021-11-15,0.93,1,208,21,
9729247,Apartamento olimpíadas e carnaval!!,50206593,Paulo Cezar,,Recreio dos Bandeirantes,-23.02179,-43.45577,Entire home/apt,1500,1,0,,,1,365,0,
9735874,Casa bonita - Suíte 204,48248701,Miguel,,Campo Grande,-22.90773,-43.57929,Private room,185,1,6,2021-10-31,0.09,3,365,3,
9737400,"New & safe: Near RIOCENTRO, Arenas, beaches",50238787,Karla,,Vargem Pequena,-22.98347,-43.46496,Entire home/apt,297,4,23,2021-11-09,0.37,2,358,4,
9744439,"Casa Amarelo, Magnifique Villa à Santa Teresa !",50270482,Laurent,,Santa Teresa,-22.91573,-43.18465,Entire home/apt,4100,2,15,2021-12-12,1.07,10,165,13,
9744607,Copa luxurymastersuite bath,13635061,Adriana,,Copacabana,-22.9704,-43.18627,Private room,2065,1,9,2020-11-01,0.13,11,364,0,
9746182,Apto COPACABANA Rio de Janeiro 3qtB,48410237,Julio Cesar,,Copacabana,-22.9627,-43.17868,Entire home/apt,300,3,4,2020-02-03,0.05,2,319,0,
